EXHIBITOR,BREWERY,BEER NAME,Tasting Notes,ABV ,STYLE,,,,,,,,,,,,,,,,,,,
Brothers Beer,Brothers Beer,Hazesteria,"“Hazesteria is what they've called it” said a bearded beer geek. 

The crowd grew. 

“My friend’s friend works with a guy that knows the brewer” said a girl wearing Docs “and he says they used loads of Mosaic and Nectaron in the dry hop!”

A chant began: “Hazy! Hazy! Hazy! HAZY!” 

Super smashable, with notes of mango, stone fruits, lime and citrus. ",4.5,Hazy Pale Ale,,,,,,,,,,,,,,,,,,,
Brothers Beer,Brothers Beer,Peacenik Pilsner,"Relaaax, dude. You're like,  totally here now, y'know? You can just sit back and soak in the vibes, like a happy lil' beer dude.  This bodacious NZ Pils, it's like totally limey and stuff, just super crisp. Like, it's got Motueka, and Riwaka, and those are like, totally my favourite hops, man. It's just, righteous, y'know?",5,NZ PIlsner,,,,,,,,,,,,,,,,,,,
Brothers Beer,Brothers Beer,Acid Test #1: Yuzu & Red Kiwifruit,"Acid Test. A brand new series from Brothers Beer where we play with all things sour and fruity. 

Red and Green Kiwifruit from the Bay of Plenty, Yuzu from Japan, a Berliner Weisse base. We use the wild Lactobacillus that grows naturally on the outside of wheat malt. This gives you more complexity. More funk. More flavour.

Pucker up.",5.5,Fruited Sour,,,,,,,,,,,,,,,,,,,
Brothers Beer,Brothers Beer,Goes To Eleven,"Made for the Smith's NZIPA Challenge, we decided to go full noise this year. Get lost backstage. Crank that baby up to eleven!

Goes to Eleven is chock-full of Amplifire Riwaka, both in cryo hop pellet and Fresh Hop Oil form.  Add some Cryo Sauvin, and some frozen Sauvin and Nectaron Fresh Hop cones for good measure.

Goes to Eleven. (It's one louder, see.)",6.3,NZIPA,,,,,,,,,,,,,,,,,,,
Brothers Beer,Brothers Beer,Dad Bod,"Good News, everyone! Studies show that 78 of women prefer men with dad bods. So, there's no reason to drink those sad, lifeless low-carb fizzy water things, when you could be drinking this bad boy!

Packed with Mosaic & Citra cryo, Nectaron, AND Motueka Hop Flakes, you can dive right into this juicy, full calorie beer, knowing that all the while, you're making yourself more attractive to the fairer sex*.
Life is too short to drink low carb.

*Ladies, don't listen to us. It's just a marketing ploy. You can totally drink this beer. It's, um, slimming? Yeah, that's it. Visibly reduces wrinkles. ",7.1,Hop Flake Hazy IPA,,,,,,,,,,,,,,,,,,,
Brothers Beer,Brothers Beer,Bounty Hunter,"I can bring you in warm, or I can bring you in cold. About 8-10 degrees ideally, in a nice Beervana glass...

It's cold as Hoth out there! Time for a big, hearty stout to warm your cockles. Roasted Barley, Chocolate & Crystal malts, real Vanilla and toasted Coconut.

At 10, it hugs you like a Wookiee. 

This is the way.",10,Imperial Stout - Coconut & Vanilla,,,,,,,,,,,,,,,,,,,
Brothers Beer,Brothers Beer,Nirvana,"Everyone remembers Nirvana: just three fresh-faced young brothers, making innocent, infectious bubblegum pop, with perfect three part harmonies.

Or something like that. Our memories are a bit hazy. Like this Triple IPA. Which is also hazy, but has another perfect three part harmony - Citra Cryo, Mosaic Cryo, and Nectaron giving you tropical fruits, citrus, even a little bit of that bubblegum. 

The hits just keep coming.

Mmm-Hop.

",10,Hazy TIPA,,,,,,,,,,,,,,,,,,,
Brothers Beer,Brothers Beer,The Mighty Quinn,"""Come all without, 
Come all within,
You've not seen nothing like 
The Mighty Quinn""
-Bob Dylan

We don't know what he was drinking  when Dylan penned this song about a charismatic Eskimo (his words. It was a different time) that was going to come and save us all, but it was probably pretty strong stuff. Like this Quintuple, yes Quintuple (!) Hazy IPA:  chock-full of cryo hops - Nelson, Motueka, Mosaic, Citra and Nelson Hop Flakes too. Should have you dancing about like a beatnik in no time.",13.5,Quintuple IPA,,,,,,,,,,,,,,,,,,,
Bruxelles Oamaru,Ninebarnyardowls,NV Blend,"A blend of no less than three vintages of coolshipped, spontaneous, barrel-fermented wild ale, bottled and further conditioned for a minimum of 12 months.",6,Spontaneous Ale,,,,,,,,,,,,,,,,,,,
Bruxelles Oamaru,Wilderness Brewing,Russet,"This Flemish-style Red-Brown Ale is the second iteration of Russet. We brew the same recipe each year and allow it to mature in oak before blending. For this batch, we selected barrels from two different brewing years—2021 and 2023—which had been aged in a mix of ex-Pinot Noir and ex-Pinot Noir Port barrels and inoculated with our house Flanders mixed culture.",6.4,Flanders Red,,,,,,,,,,,,,,,,,,,
