EXHIBITOR,BREWERY,BEER NAME,Tasting Notes,ABV ,STYLE,,,,,,,,,,,,,,,,,,,
Mean Doses Zoltar,Mean Doses Zoltar,Your Wish Is Granted,"Maybe you didn't know that this is what you wanted. Well no take-backs. Zoltar has searched your soul and determined that instead of world peace or an end to social media disinformation you actually just want a strong hazy with Nelson Sauvin, Motueka and Simcoe. It tastes of grape, lime and tropical fruit. Maybe a little pine too. 

Mistrusting the soul's true desires is a central theme of Andrei Tarkovsky's 1979 film Stalker, a quiet masterpiece of Soviet-era science fiction and a much better film than Big.",7,Hazy IPA,,,,,,,,,,,,,,,,,,,
Mount Brewing,Mount Brewing,Harley's Nitro Irish Stout,"Rich dark chocolate and toffee layered with freshly roasted espresso, finishing smooth, creamy and exceptionally sessionable.",4.2,Irish Stout,,,,,,,,,,,,,,,,,,,
Mount Brewing,Mount Brewing,Highline ,"Juicy tropical fruit and bright citrus with a refreshing hazy finish. Light-bodied, low in carbs and packed with flavour.",4.2,Low Carb Hazy Pale Ale,,,,,,,,,,,,,,,,,,,
Mount Brewing,Mount Brewing,Sea Beast,"Pine, citrus and delicate floral aromas lead into a medium-bodied IPA with bold New Zealand hop character, balanced by a firm, refreshing bitterness.",6,NZ IPA,,,,,,,,,,,,,,,,,,,
Mount Brewing,Mount Brewing,The Trifecta,"White peach, ripe mango and passionfruit, layered with bright citrus, fresh lime zest and a clean grapefruit finish. Crisp, dry and low in bitterness.",6.5,NZIPA,,,,,,,,,,,,,,,,,,,
Mount Brewing,Mount Brewing,Flow State,"Rich cocoa, toasted coconut and fresh raspberry layered over smooth caramel, with a full, silky body and a long, decadent finish.",9,"Dessert Stout w/ Raspberry, Chocolate & Coconut",,,,,,,,,,,,,,,,,,,
Neck of the Woods,Neck of the Woods,P.O.E.T.S,Gold Medal NZ Beer Awards 2026,4.7,Pale Ale,,,,,,,,,,,,,,,,,,,
Neck of the Woods,Neck of the Woods,The Hef,Fresh Hop German Hazy ,5.4,German Wheat Beer,,,,,,,,,,,,,,,,,,,
Neck of the Woods,Neck of the Woods,Blood Moon,"As the Bloodmoon rises, dark chocolate gives way to a slow, smouldering warmth. Layers of rich roasted malt, creamy lactose, and velvety chocolate malt create a smooth, full-
bodied stout, while chipotle adds a smoky heat that lingers long after each sip. This rare fiery Bloodmoon is a decadent stout where sweetness, spice, and smoke eclipse one another in perfect harmony.",5.5,Stout,,,,,,,,,,,,,,,,,,,
Neck of the Woods,Neck of the Woods,RUSTY DINGO,Gold Medal NZ Beer Awards 2026,5.6,Brown Ale,,,,,,,,,,,,,,,,,,,
Neck of the Woods,Neck of the Woods,COBRA KAI,NZIPA People's Choice Winner,5.8,Hazy NZIPA ,,,,,,,,,,,,,,,,,,,
Neck of the Woods,Neck of the Woods,Kinky M.I.L.F,MALTHOUSE WCIPA Challenge winner,6.3,West Coast IPA,,,,,,,,,,,,,,,,,,,
Neck of the Woods,Neck of the Woods,SOUR: ELIXIR,Golden Gooseberry Gose with Vanilla & Tarragon X 3 - Specially brewed for Beervana,,Sour Ale,,,,,,,,,,,,,,,,,,,
Neck of the Woods,Neck of the Woods,Noctis,,,Stout,,,,,,,,,,,,,,,,,,,
New Kids on the Block,Bonnie Day,Dark lager,,4.4,Dark lager,,,,,,,,,,,,,,,,,,,
New Kids on the Block,Bonnie Day,Pilsner,,4.8,Pilsner,,,,,,,,,,,,,,,,,,,
New Kids on the Block,Horseshoe Brewing,Hard Limonade,"Just like an old fashioned lemonade. Sweet and tart with a great taste of lime.
If you want a wee rest from beer this is good option. It's 5 ABV and honestly the words most commonly used to describe it are ""Ooo that's dangerous"".",5,Hard Lemonade,,,,,,,,,,,,,,,,,,,
New Kids on the Block,Bonnie Day,IPL,,5.1,IPL,,,,,,,,,,,,,,,,,,,
New Kids on the Block,Horseshoe Brewing,Raspberry Stout,,5.8,Raspberry Stout,,,,,,,,,,,,,,,,,,,
New Kids on the Block,Horseshoe Brewing,Wairarapa IPA,"The highest praised beer of Beervana 2025 returns! Winner of all four sessions.
Hoppy and malty with a balancing bitterness, it's made for pints. No gimmicks just good tasty beer.",5.9,NZ IPA,,,,,,,,,,,,,,,,,,,
New Kids on the Block,Bonnie Day,Black IPA,,7,Black IPA,,,,,,,,,,,,,,,,,,,
No.8 Distillery,No.8 Distillery,Limoncello Fizz,"Low Alcohol drink - No8 Limoncello, Lemon juice and mixer",2.4,Low Alcohol Cocktail,,,,,,,,,,,,,,,,,,,
No.8 Distillery,No.8 Distillery,Beer Mojito,"No8 Golden Rum, Pilsner, Lime juice, Sugar, Lemonade",5,Beer-based Cocktail,,,,,,,,,,,,,,,,,,,
No.8 Distillery,No.8 Distillery,No8 Gin & Tonic,No8 Horopito (Citrus) or No8 Founders (Classic),6,Cocktail,,,,,,,,,,,,,,,,,,,
No.8 Distillery,No.8 Distillery,Enceladus  Gin & Tonic,Dry Gin - Limited edition,6,Cocktail,,,,,,,,,,,,,,,,,,,
No.8 Distillery,No.8 Distillery,Raspberry Martini,"No8 Vodka, Limoncello, Raspberry pure, Triple Sec, Soda water",7,Cocktail,,,,,,,,,,,,,,,,,,,
No.8 Distillery,No.8 Distillery,Sweet & Sassy,"No8 Gin, Grapefruit Liqueur, Campari, Honey, Lemon Juice, Tonic",7,Cocktail,,,,,,,,,,,,,,,,,,,
No.8 Distillery,No.8 Distillery,White Mocka,"No8 Moka Gin, butterscotch, No8 Cocoa liqueur, coffee, London Porter reduction, Cream",8,Beer-based Cocktail,,,,,,,,,,,,,,,,,,,
No.8 Distillery,No.8 Distillery,Blue Lady,"Gin, Blue curacao, Lemon Juice, Aquafaba, Soda water",9,Cocktail,,,,,,,,,,,,,,,,,,,
No.8 Distillery,No.8 Distillery,No8 Rum Sour,"BaBin  Golden Rum, Tiger Lily Liqueur, Lemon Juice,  Aquafaba",9,Cocktail,,,,,,,,,,,,,,,,,,,
North End Brewing,North End Brewing,Petit Luna,"Just because something is small doesn't mean it won't pack a punch. The little, delicate, dried flowers of the hibiscus plant are a case in point as they lend a pungent, fruity character, and deep pink colour when added to beer. The same can be said of Petit Luna. Hibiscus, kaffir lime, spicy Belgian yeast, and lactic tartness all brew up to a big refreshing blast of flavour fired by a light, low alcohol beer.",2.5,Hibiscus & Lime Sour Ale,,,,,,,,,,,,,,,,,,,
North End Brewing,North End Brewing,Bitter Sea,"Inspired by our ancestors who travelled across the seas to forge a new life in this land we set about brewing a full bodied strong London style bitter. We combined New Zealand Ale Malt, two different crystal malts, a little wheat, tangy English Goldings and Fuggles hops with our fruity English Ale yeast to create a sociable, sessionable taste of the old country.",4.7,Extra Special Bitter,,,,,,,,,,,,,,,,,,,
North End Brewing,North End Brewing,Pilspresso,"North End Salty's Pilspresso In collaboration with Salty's Roastery, we've layered their first-ever roast into this pilsner to bring together the best of both worlds. Coffee was hot side extracted for 10 minutes, followed by a 24 hour cold conditioning stage at 8°c, allowing the coffee aromatics to integrate seamlessly with the crisp pilsner profile. Sweet espresso, subtle toasted grain and a clean crisp finish.",4.8,Coffee Pilsner,,,,,,,,,,,,,,,,,,,
North End Brewing,North End Brewing,Become the Ocean,"For hundreds of years brewers in the German state of Saxony produced tart, salty, spicy wheat beers called Gose. The style was all but extinct when new world craft brewers discovered it and started to brew versions with increasingly off the wall flavourings. We decided to do something revolutionary and brew a Gose using only the traditional ingredients of water, malt, hops, salt, coriander seeds and yeast. Fruity, tart and just a little salty, we think Become the Ocean is the perfect match to a plate of shellfish",5,Gose,,,,,,,,,,,,,,,,,,,
North End Brewing,North End Brewing,Super Alpha,Super Alpha is a hoppy refreshing Pacific Pale Ale that uses the crisp tartness of wheat malt and a blast of fruity New Zealand hops to create a crisp refreshing beer.  Super Alpha takes its name from an unusual variety of New Zealand hop that gives the beer its trademark lemongrass character. The ultimate end to a summer’s day.,5,Pacific Pale Ale,,,,,,,,,,,,,,,,,,,
North End Brewing,North End Brewing,Hill Road,"North End Core Range You'd often catch Basil at the Hill Road lookout, scoping out his next fishing trip. Peering through the mist and glimpsing a hazy horizon - the inspiration for this brew. This tin cracks open with passionfruit and mango, layered with tropical citrus. Smooth and juicy, with a pithy, balanced bitterness.",6,Hazy IPA,,,,,,,,,,,,,,,,,,,
North End Brewing,North End Brewing,Iron Sands,"Inspired by the wild iron-rich beaches of the west coast we devised a smooth warming stout that combines oats, caramelized rye, and chocolate wheat malt with our fruity English yeast strain and some lightly zesty Nelson hops. The result is a stout fit to fortify against wild west coast winter storms and the perfect match to a night beside the fire. Smooth, rich stout. Fruity notes with layers of chocolate and coffee.",6,Oat Rye Stout - Hand Pull,,,,,,,,,,,,,,,,,,,
North End Brewing,North End Brewing,Beach Hoist,"Our American style India Pale Ale started out as a collaboration with a legendary brewer from Oregon in the North West United States. We took the American IPA style and substituted American varieties of hops for New Zealand grown ones. We have tweaked the recipe and made it our own. Piney, grippy and citrus laden.",6.5,American IPA,,,,,,,,,,,,,,,,,,,
One Drop 1,One Drop 1,Join the Dots,"MANGO, RASPBERRY, BLACKCURRANT, VANILLA ICE CREAM & MARSHMALLOW",6,Ice Cream Sour,,,,,,,,,,,,,,,,,,,
One Drop 1,One Drop 1,Echo Chamber,"PEACH, RASPBERRY, GUAVA & BANANA",6.1,Fruited Pulp sour,,,,,,,,,,,,,,,,,,,
One Drop 1,One Drop 1,Aunties Pudding,"STEAMED PUDDING, GOLDEN SYRUP, PINEAPPLE CUSTARD & COCONUT CREAM",6.5,Smoothie Pastry Sour,,,,,,,,,,,,,,,,,,,
One Drop 1,One Drop 1,The Countdown,"10g/L MOTUEKA, PEACHARINE, CITRA + CLEAN FUSION",8,Saturated DDH DIPA,,,,,,,,,,,,,,,,,,,
One Drop 1,One Drop 1,Feel It,"MANGO, BLUEBERRY, ICE CREAM & LEMON",8.2,Cream Smoothie Sour,,,,,,,,,,,,,,,,,,,
One Drop 1,One Drop 1,On The Edge,"STICKY CARAMEL, CHOCOLATE & COCONUT'",9,Imperial Cream Pastry Stout,,,,,,,,,,,,,,,,,,,
One Drop 2,One Drop 2,Wipe Me Down,"BOYSENBERRY, RASPBERRY, VANILLA ICE CREAM, LEMON MERINGUE & MAPLE",6,Cream Smoothie Sour,,,,,,,,,,,,,,,,,,,
One Drop 2,One Drop 2,Ride Or Die,"BANANA, PINEAPPLE, LARAHA ORANGE & COCONUT CREAM",6.7,Cream Smoothie Sour,,,,,,,,,,,,,,,,,,,
One Drop 2,One Drop 2,Just an Illusion,"COLLAB WITH TEENAGE BREWING, JP. NASHI PEAR, PEACH & STRAWBERRY",6.8,Fruited Pulp Sour,,,,,,,,,,,,,,,,,,,
One Drop 2,One Drop 2,Disconnection Notice,"MANGO, PINEAPPLE, PASSIONFRUIT & COCONUT WATER",7.3,Fruited Sour,,,,,,,,,,,,,,,,,,,
One Drop 2,One Drop 2,All Day,"PEANUT BUTTER, NOUGAT, CARAMEL & ICE CREAM",8,Imperial Cream Pastry Stout,,,,,,,,,,,,,,,,,,,
One Drop 2,One Drop 2,Double Take,420G/L BOYSENBERRY JUICE + COCONUT CREAM,10,Imperial Cream Fruited Sour,,,,,,,,,,,,,,,,,,,
Panhead Brewery,Panhead Brewery,Port Road Pilsner,"Light and crisp. Notes of grapefruit, gooseberry and passion fruit rather like the famous NZ Sauvignon blanc. A gentle malt body to balance the hops and a robust, dry bitter finish.",5.2,Pilsner,,,,,,,,,,,,,,,,,,,
Panhead Brewery,Panhead Brewery,DDH Supercharger,"Big, punchy aroma with a heap of grapefruit, stone fruit, tropical & pine. A lot like Supercharger, but hoppier. ",5.7,APA,,,,,,,,,,,,,,,,,,,
Panhead Brewery,Panhead Brewery,Pickup,"Notes of pineapple, papaya, nectarines, citrus and melon. Juicy and soft bodied, with some bitterness in the back end. Using Motueka, Cascade Mosaic & Eclipse hops.",5.9,Hazy IPA,,,,,,,,,,,,,,,,,,,
Panhead Brewery,Panhead Brewery,Hazy Vandal,"Packed full of passionfruit, white-grape, tropical, pine & citrus.This beer combines classic kiwi hop flavour with some more modern, fruit-forward hop expression. Soft & juicy, yet resinous & punchy. ",6.2,NZ IPA,,,,,,,,,,,,,,,,,,,
Panhead Brewery,Panhead Brewery,Six Splitter,"Big, punchy aromas of grapefruit, tropical fruit and pine lead the charge, followed by layers of dankness and sweet fruit. A lean malt base lets the hops shine bright, while a firm bitterness cuts cleanly through the finish.",6.8,WC IPA,,,,,,,,,,,,,,,,,,,
Panhead Brewery,Panhead Brewery,Barrel Aged,"A complex and mix of raisin, coconut, vanilla, chocolate aromas and flavours. Some bourbon booziness, oak tannins and a hint of balsamic acidity add to the impact and complexity of this enticing beer. ",7,Stout with Vanilla,,,,,,,,,,,,,,,,,,,
Panhead Brewery,Panhead Brewery,Double Quickchange,"Bursting with tropical, citrus, passionfruit and white-grape flavour. Fresh, punchy and delicious. Everything you like about Quickchange, but more of it!",7,XXPA,,,,,,,,,,,,,,,,,,,
Pink Boots NZ,Isthmus Brew Co.,Pineapple and Lime Sour,"Tantalise your taste buds with this refreshingly complex kettle soured ale. Brewed with the traditional process, which gives acidity to the beer, the incredible fruit taste comes from the beer being fermented with a crazy amount of fruit juice. We've paired a tart citrus burst of lime juice with the sweet, tangy flesh of pineapples to create a refreshing and fruity ale.",3.8,Sour Ale,,,,,,,,,,,,,,,,,,,
Pink Boots NZ,Good George Distilling x Pink Boots NZ,Boots N Soda,"Combining all that is GOOD! Pink Boots and Good George Distilling Lemon Myrtle, Makrut Lime Leaf and Rosemary gin is paired with a classic soda. Think Citrus Bomb without all the fruit getting in the way.",4,Gin and Soda,,,,,,,,,,,,,,,,,,,
Pink Boots NZ,Colab Brewing,New Squeeze,A nose full of tropical fruit straight out of the gate. This ‘new squeeze’ is not afraid to make itself known. The hazy nature lures you in with intrigue and leaves you with beautiful mouth feel and a palate full of tropical fruit and citrus.,5.5,NEIPA,,,,,,,,,,,,,,,,,,,
Pink Boots NZ,Good George Brewing,Cleveland Lager,"Kicking off a (fingers crossed) winning season for the Cleveland Browns with caramel, chocolate malt notes and a lightly spiced American hop character.",5.5,American Brown Lager,,,,,,,,,,,,,,,,,,,
Pink Boots NZ,Two Fold Brewery,The Goat and the Goose,"Twofold x Pink Boots Collaboration for International Women’s Day. 
Brewed on a bed of NZ-grown German-style pilsner malts and Light Lager, hopped with scrummy Riwaka from Clayton Hops and the latest Pink Boots Blend, flown fresh from the hop press by Yakima Chief. This year’s blend features Ekuanot, Centennial, HBC 638, and Mosaic.
Expect crisp, clean malt backbone with tropical and stone fruit notes, bright citrus, and a touch of resinous pine",6,West Coast Pilsner,,,,,,,,,,,,,,,,,,,
Rudi's Beer,Rudi's Beer,Rudi's Butterfly Cider,"Bright and unexpected, Rudi’s Butterfly Lime Cider blends zesty lime with a hint of floral flair. Brewed with butterfly pea flower, it pours a subtle blush that deepens with citrus - an enchanting visual twist. Lightly tart and ultra-refreshing, it finishes crisp and dry. This is Rudi with a wink - colourful, cool, and cheekily unconventional.",4.2,Cider,,,,,,,,,,,,,,,,,,,
Rudi's Beer,Rudi's Beer,Rudi's Lager,"Sessionable and award-winning, Rudi’s Lager is a super clean, crisp New-World brew featuring Dr Rudi hops – named after the man himself. Nelson Sauvin adds lift and character, striking a bold balance between a firm slap to the face and a warm embrace. Thirst-quenching – bloody refreshing – it’s lager the Rudi’s way: no fuss, all flavour.",5,Lager,,,,,,,,,,,,,,,,,,,
Rudi's Beer,Rudi's Beer,Rudi's Pilsner,"Our award-winning New Zealand Pilsner showcases the distinctive character of local hops, delivering a fuller body with layered flavour. Clean, crisp, and mid-dry – it strikes a perfect balance between subtle malt and the vibrant lift of four NZ hops: Dr Rudi, Motueka, Nelson Sauvin, and Kohatu. A modern classic with a proudly Kiwi soul.",5,Pilsner,,,,,,,,,,,,,,,,,,,
Rudi's Beer,Rudi's Beer,Rudi's IPA,"Rudi’s IPA bursts with bold American Simcoe hops, layered with the unique complexity of New Zealand varieties. Expect vibrant notes of tropical fruit, pine, and a hint of passionfruit. This punchy yet balanced brew finishes lush without overwhelming the palate. A confident, hop-forward IPA that’s refreshingly bold, smooth, and unmistakably Rudi’s.",6.4,IPA,,,,,,,,,,,,,,,,,,,
Rudi's Beer,Rudi's Beer,Rudi's Hazy,"Our Hazy Pale Ale showcases the vibrant character of New Zealand hops in a smooth, juicy pour. Bursting with tropical fruit, citrus, and a touch of white grape – it’s brewed with Dr Rudi, Motueka, Nelson Sauvin, and Kohatu. Soft on the palate with a gentle haze – bold, fruity, and effortlessly drinkable from first sip to last.",6.4,Hazy Pale Ale,,,,,,,,,,,,,,,,,,,
Rudi's Beer,Rudi's Beer,Rudi's Double Hazy,"Unfiltered, and irresistibly juicy - Rudi’s Double Hazy is a bold hop bomb wrapped in velvet. It pours a glowing golden haze crowned with creamy foam. Aromas erupt with mango smoothie, ripe peach, passionfruit, and citrus zest. The mouthfeel is pillowy, thanks to oats and wheat. Saturated yet smooth, it’s Rudi unleashed - cloudy, confident, and dangerously drinkable.",8,Double Hazy,,,,,,,,,,,,,,,,,,,
Scapegrace + Thunderdonk,Scapegrace + Thunderdonk,GIN RADLER,"Gin, Beers Lager Lager, Citrus",7,Cocktail,,,,,,,,,,,,,,,,,,,
Scapegrace + Thunderdonk,Scapegrace + Thunderdonk,WESTERN RUBY,"Spiced Maple, Grapefruit, Lime",7.3,Cocktail,,,,,,,,,,,,,,,,,,,
Scapegrace + Thunderdonk,Scapegrace + Thunderdonk,WHISKY HIGHBALLS,"Anthem
Vanguard",8.3,Cocktail,,,,,,,,,,,,,,,,,,,
Scapegrace + Thunderdonk,Scapegrace + Thunderdonk,TROPICAL PUNCH,"Salted Caramel, Banana, Pineapple, Coconut",8.4,Cocktail,,,,,,,,,,,,,,,,,,,
Scapegrace + Thunderdonk,Scapegrace + Thunderdonk,IMPERIAL COFFEE,"Campfire Coffee, Single Malt, Cold Brew, Milk Stout",8.5,Cocktail,,,,,,,,,,,,,,,,,,,
Scapegrace + Thunderdonk,Scapegrace + Thunderdonk,STONE FRUIT ALE,"Single Malt, Peach, Tea, Ginger Ale",8.6,Cocktail,,,,,,,,,,,,,,,,,,,
Scapegrace + Thunderdonk,Scapegrace + Thunderdonk,GIN & TONICS,Classic / Black / Blood Moon,8.6,Cocktail,,,,,,,,,,,,,,,,,,,
Searchlight Brewing,Searchlight Brewing,Peaches & Cream ,"A light, refreshing sour with juicy peach flavour and a smooth, creamy finish. Softly tart, easy-drinking.",3.7,Sour,,,,,,,,,,,,,,,,,,,
Searchlight Brewing,Searchlight Brewing,Ginger Beer,"Zesty hard ginger beer, little bit sweet, little bit ginger, little bit refreshing.",4,Ginger Beer,,,,,,,,,,,,,,,,,,,
Searchlight Brewing,Searchlight Brewing,Lembas Bread Ale,"Handpull - Inspired by the legendary Lembas bread of Middle-earth, this collaboration with Choice Bros Brewing takes the idea of bread and turns it into beer.
A soft, hazy pale ale with a distinctly bready and biscuit-like character, complemented by a gentle touch of vanilla. Malt-forward and comforting, with a creamy texture and just enough sweetness to evoke the rich, sustaining character of the Elves' famous travelling bread.
A beer made for journeys, adventures, and second breakfasts.",4,Unknown Style,,,,,,,,,,,,,,,,,,,
Searchlight Brewing,Searchlight Brewing,Queenstown Draught,"Golden, glowing, and godlike, this easy-drinking beer is pure Queenstown charm in a pint. Brewed with Nelson Sauvin and Pacific Jade hops, it opens with soft malt, a hint of toffee, and the feeling of morning sunshine over a green pitch. With biscuit notes, subtle bitterness, and a full-bodied “can-do” attitude, Queenstown Draught tastes like weekend sport, mountain air, and local pride refreshment built for legends.",4.5,NZ Draught,,,,,,,,,,,,,,,,,,,
Searchlight Brewing,Searchlight Brewing,Lady of the Lake,"Handpull - Orange marmalade, earthy notes and toffee biscuit with a soft, balanced bitterness.",4.6,ESB,,,,,,,,,,,,,,,,,,,
Searchlight Brewing,Searchlight Brewing,Ella's Escape,"Naturally unfiltered and bright straw in colour, this beer showcases Ella hops with soft citrus and floral aromas. Light and dry on the palate, it delivers gentle grapefruit pith flavours and a smooth, balanced bitterness.",4.8,Low Carb Lager,,,,,,,,,,,,,,,,,,,
Searchlight Brewing,Searchlight Brewing,Champagne Pilsner,"Crisp Pilsner meets brut-style bubbles: bright, bone-dry, and refreshingly sparkling, Using noble German hops and a touch of NZ Riwaka, fermented with lager and wine yeast .",5.9,Pilsner,,,,,,,,,,,,,,,,,,,
Searchlight Brewing,Searchlight Brewing,Plum Sake Stout,"A rich and velvety stout brewed with plum and sake from Zenkuro. Deep roasted malt, dark chocolate and coffee notes meet juicy plum, subtle vanilla and a gentle sake character, finishing smooth, warming and beautifully balanced.",6.2,Plum Sake Stout,,,,,,,,,,,,,,,,,,,
Searchlight Brewing,Searchlight Brewing,John Beer,"A big, juicy hazy packed with Motueka, Riwaka, and Nelson Sauvin hops. Bursting with tropical mango, guava, and citrus aromas, it’s full-bodied, creamy, and loaded with that unmistakable hazy goodness.",6.7,NZ Hazy IPA,,,,,,,,,,,,,,,,,,,
Searchlight Brewing,Searchlight Brewing,Trench Coat,"A bold West Coast IPA bringing together the punchy character of US hops with a bright NZ hop edge. A sturdy malt base gives the beer a rich deep-gold colour and a touch of chewy malt sweetness, providing balance against a firm bitterness and generous hop load. Aromas of ripe stone fruit and dank pine resin lead into a subtle citrus undertone, with the US hops taking centre stage while the NZ varieties add brightness and lift. Full of character, bitter, resinous and built for hop lovers.",7,WCIPA,,,,,,,,,,,,,,,,,,,
Searchlight Brewing,Searchlight Brewing,Stained Glass,"A bold Belgian-style Tripel with a modern hop twist, brewed with Citra, Nelson Sauvin and Hallertau Blanc. Bright, clear and golden with a soft white head, it opens with aromas of citrus, peach and subtle clove. Flavours of citrus, stone fruit and honey follow, supported by classic Belgian fruity esters, gentle spice and a warming character. It finishes dry and clean, with a light, balanced bitterness.",8.6,Abbey Tripel,,,,,,,,,,,,,,,,,,,
Seeker Brewery,Seeker Brewery,Daydream,Aussie style pale ale with a classic passionfruit and citrus flavour.,5,XPA,,,,,,,,,,,,,,,,,,,
Seeker Brewery,Seeker Brewery,Mystic,"Flavours of tropical fruit, coconut with a touch of candy character. ",6.2,Hazy IPA,,,,,,,,,,,,,,,,,,,
Seeker Brewery,Seeker Brewery,Rookie,Bright citrus and pineapple character .,6.8,Hazy IPA,,,,,,,,,,,,,,,,,,,
Seeker Brewery,Seeker Brewery,Veteran,"Complex tropical, white wine and peach notes.",6.8,Hazy IPA,,,,,,,,,,,,,,,,,,,
Seeker Brewery,Seeker Brewery,Belgian Quad,"Dark fruit, fig and raisin with a classic Belgian spice character.",10,Belgian Quad,,,,,,,,,,,,,,,,,,,
Seeker Brewery,Seeker Brewery,Eisbock,Freeze distilled weizen doppelbock to showcase an intense banana malty sweetness with a silky smooth finish. ,10,Freeze-distilled Weizen Doppelbock,,,,,,,,,,,,,,,,,,,
Seeker Brewery,Seeker Brewery,Rum Barrel-aged Stout,"Dark chocolate, rum and vanilla with toasted coconut.",14,Imperial Stout,,,,,,,,,,,,,,,,,,,
Shining Peak Brewing,Shining Peak Brewing,Little Fake XPA,"Far away in England an art forger called James Edward Little specialised in forgeries of Maori and Pacific art, even though he’d never been near our neck of the woods. He fooled a lot of “experts” and consequently Puke Ariki has the biggest collection of Little Fakes in the world.

This session IPA deceives by fronting big Amarillo and Mosaic without the alcohol kick.",2.5,Low Alcohol,,,,,,,,,,,,,,,,,,,
Shining Peak Brewing,Shining Peak Brewing,Rustic Sour,"This Belgian inspired Sour Beer is a blend of two mixed ferment beers, a 12-month Chardonnay barrel–aged ale and a 24-month bourbon barrel–aged ale. After blending, the sour ale was pitched with Brettanomyces yeast and bottle conditioned for four months, adding layers of complexity and funk to the barrel character and balanced sourness. 
 
The finished beer is beautifully complex. Notes from the Chardonnay barrels are clearly present but never overwhelming. Malt character provides balance and length, leading to a moreish, satisfying finish.",5,Oak-Barrel-aged Sour,,,,,,,,,,,,,,,,,,,
Shining Peak Brewing,Shining Peak Brewing,Dicky Barrett's English Bitter,"Dicky Barrett, renowned for being as wide as he was short, became somewhat of a hero around these shores. Lovingly given the moniker Tiki Parete by local iwi, he fought alongside his Māori brothers against the cowbell-ringing enemy from the north.

Legend has it he died from injuries while battling a whale, but other reports state a botched double bypass may have been the cause. In honour of Dicky’s girth, this English Bitter boasts a full body, balanced with herbal Antipodean hops.

Served on Handpull.",5.2,English Special Bitter,,,,,,,,,,,,,,,,,,,
Shining Peak Brewing,Shining Peak Brewing,Bogworks Pilsner,"""Sick as, bruh"" meant something different for New Plymouth's surfers back in the day. It was probably what they were telling their General Practitioner after paddling through the proverbial let go from the town's 'revolutionary' sewerage system installed in 1933. Thankfully, things have been cleaned up since then, allowing for a much more refreshing ocean experience at the surf break known as 'Bogworks', located directly outside our Brewery.

A combination of clean, light malts and crisp Riwaka hops make this New Zealand Pilsner the perfect way to cap off a day catching the big ones.",5.2,NZ Pilsner,,,,,,,,,,,,,,,,,,,
Shining Peak Brewing,Shining Peak Brewing,Magic Dart Pale Ale,"Back in the day, Whare Matangi, estranged son of Ngarue, was given a magic dart, or tara, that would lead him to his father. After a few throws the tara hit Ngarue’s house at the mouth of the river. The place became known as Te Whai-tara uni-a-Ngarue, or Waitara.

Our own Magic Dart aims for an American-style golden ale with a combo of US and kiwi hops combining sweet stonefruit and tropical aromas.",5.3,Pale Ale,,,,,,,,,,,,,,,,,,,
Shining Peak Brewing,Shining Peak Brewing,Skunk Juice Hazy IPA,"The impressive brains in the natural gas industry once came up with a genius solution to a dangerous problem. The problem? Natural gas doesn't have an odour and hazardous leaks were going undetected. The solution? Skunk Juice!

What is Skunk Juice you ask? It's a pungent brew of Sulphide and Methyl Mercaptan that can be smelled almost three kilometres from its source. It pongs so bad, it once shut down the town of Stratford for a whole day!

Our version of Skunk Juice harnesses a hazy chemical brew of Mosaic and Citra hops, that unlike its namesake, gives off a beautiful tropical and citrus aromas, so you'll always know when someone nearby has poured themselves a glass of Skunk Juice!",6.2,Hazy IPA,,,,,,,,,,,,,,,,,,,
Shining Peak Brewing,Shining Peak Brewing,Black Doris Plum Sour Ale - Oak Barrel Aged,"This Belgian inspired Sour Beer is a mix of 12 and 24 month old mixed ferment Oak Barrel Aged Ales rested on crushed Black Doris Plums and then conditioned in bottle with fresh Brettanomyces yeast.

Store upright in the fridge for at least 24 hours before gently decanting.

Limited to 1200 wax dipped and hand labelled bottles, and one festival keg exclusively for Beervana 2026.",6.3,Barrel Aged Sour Ale,,,,,,,,,,,,,,,,,,,
Shining Peak Brewing,Shining Peak Brewing,Raspberry Sour Ale - Oak Barrel Aged,"This Belgian inspired Sour Beer is a mix of 12 and 24 month old mixed ferment, oak barrel aged ales rested on raspberries picked from Windermere Berry Farm in Whanganui, and then conditioned in bottle and keg with fresh Brettanomyces Yeast.

BREWERS NOTES:
We found a blend from four different barrels that we thought would match perfectly to the sweet tang of Raspberry. We blended the beer in tank with the fruit and let it re-ferment for four months before bottling with priming sugar and a fresh pitch of Brettanomyces yeast. The beer itself is earthy, funky and tart with a big fresh punch of the iconic Raspberry, and vivid colour.",6.4,Barrel Aged Sour,,,,,,,,,,,,,,,,,,,
Shining Peak Brewing,Shining Peak Brewing,Flemish Bruin Ale - Oak Barrel Aged,"Smooth, complex, and beautifully balanced, our Flemish Bruin pours a deep mahogany with ruby highlights, crowned by a wispy, off-white head. On the nose, it opens with inviting aromas of dark cherries, dates, and a hint of balsamic, intertwined with gentle oak and a complex earthiness. The malt base boasts notes of caramel and toffee, quickly met by a bright, tangy acidity that adds lift and vibrancy.

A hint of oak lingers in the background thanks to nearly 24 months of careful maturation. The finish is dry, slightly tart, and refreshingly clean, leaving you ready for another sip. Perfect for slow sipping by the fire reading a leather bound dictionary, pairing with rich meats, or matching with aged cheeses.",6.6,Flanders Oud Bruin,,,,,,,,,,,,,,,,,,,
